model,R2,RMSE,MAE
XGBoost,0.1333484649658203,0.9074289939886852,0.7110068798065186
LightGBM,0.1286024694683795,0.9099102248928909,0.7145348723868175
CatBoost,0.127005490452203,0.9107436231581542,0.7148495282307832
RandomForest,0.06316280812278763,0.9434577248104429,0.7276279786899962
