model,Accuracy,BalancedAccuracy,MacroF1,WeightedF1
RandomForest,0.49050543221539916,0.3622081987069691,0.3760861527035764,0.47709257419083984
XGBoost,0.5043930089749645,0.3149157096351709,0.3202788423141168,0.46005436401350097
LightGBM,0.49296173830892775,0.2991934311812908,0.2975840519146389,0.44399090316103196
CatBoost,0.48927727916863484,0.2815760181669683,0.267725498654333,0.43145961872696864
